id,ka,years
1,1.5,1500
2,2.0,2000
3,2.3,2300
4,2.5,2500
5,8.0,8000
6,9.0,9000
7,9,9000
8,9,9000
9,9.5,9500
10,10.0,10000
11,10,10000
12,11.0,11000
13,11,11000
14,12.0,12000
15,12.0,12000
16,12,12000
17,13,13000
18,13,13000
19,13,13000
20,13,13000
21,13,13000
22,14,14000
23,14,14000
24,14,14000
25,14,14000
26,14.6,14600
27,15,15000
28,16.3,16300
29,17,17000
30,17.0,17000
31,17,17000
32,17.1,17100
33,17.8,17800
34,18.0,18000
35,18.7,18700
36,19,19000
37,19.0,19000
38,19.4,19400
39,20,20000
40,20.0,20000
41,20.0,20000
42,20.0,20000
43,20.5,20500
44,20.5,20500
45,20.5,20500
46,20.6,20600
47,21,21000
48,21.0,21000
49,21.2,21200
50,21.4,21400
51,21.5,21500
52,21.5,21500
53,21.8,21800
54,21.8,21800
55,21.9,21900
56,22.0,22000
57,22.5,22500
58,22.7,22700
59,23.5,23500
60,23.5,23500
61,23.5,23500
62,23.8,23800
63,23.9,23900
64,23.9,23900
65,24,24000
66,24,24000
67,24.1,24100
68,24.4,24400
69,24.6,24600
70,24.9,24900
71,24.9,24900
72,25.3,25300
73,25.4,25400
74,25.4,25400
75,25.6,25600
76,25.8,25800
77,26.4,26400
78,27.0,27000
79,27.5,27500
80,27.6,27600
81,27.6,27600
82,27.6,27600
83,27.6,27600
84,27.7,27650
85,27.8,27800
86,27.9,27900
87,28.0,28000
88,28,28000
89,28.2,28200
90,28.3,28300
91,28.5,28500
92,28.5,28500
93,29.2,29200
94,30.0,30000
95,30.0,30000
96,30.5,30500
97,30.9,30900
98,31.0,31000
99,31.2,31200
100,31.9,31900
101,31.9,31900
102,32,32000
103,32.1,32100
104,32.4,32400
105,32.9,32900
106,32.9,32900
107,33,33000
108,33.4,33400
109,34.2,34200
110,34.2,34200
111,34.5,34500
112,34.6,34600
113,34.6,34600
114,34.9,34900
115,35,35000
116,35,35000
117,35.4,35400
118,35.6,35600
119,36,36000
120,36.4,36400
121,37,37000
122,37.4,37400
123,37.6,37600
124,38.4,38400
125,39.8,39800
126,40,40000
127,40,40000
128,41.1,41100
129,43,43000
130,43,43000
131,46,46000
132,47,47000
133,47,47000
134,47.0,47000
135,47.1,47100
136,48,48000
137,48.2,48200
138,48.5,48500
139,48.9,48900
140,49.1,49100
141,50.0,50000
142,50.0,50000
143,50.0,50000
144,51.4,51400
145,52,52000
146,53,53000
147,54,54000
148,55,55000
149,55,55000
150,55.9,55900
151,56,56000
152,56,56000
153,57,57000
154,59.8,59800
155,61,61000
156,63,63000
157,63,63000
158,64,64000
159,65.0,65000
160,65.0,65000
161,66,66000
162,67,67000
163,68,68000
164,68,68000
165,68.2,68200
166,69,69000
167,70,70000
168,70,70000
169,71,71000
170,71.7,71700
171,73,73000
172,74,74000
173,74.0,74000
174,74.0,74000
175,75,75000
176,75,75000
177,75,75000
178,75.0,75000
179,75.0,75000
180,76,76000
181,78,78000
182,79,79000
183,80,80000
184,80,80000
185,84,84000
186,84.5,84500
187,87,87000
188,89,89000
189,90.0,90000
190,90,90000
191,90,90000
192,91,91000
193,91.5,91500
194,92,92000
195,93,93000
196,93,93000
197,94,94000
198,97,97000
199,98,98000
200,98,98000
201,100,100000
202,100,100000
203,100.0,100000
204,100.0,100000
205,100.0,100000
206,100,100000
207,105,105000
208,105,105000
209,106,106000
210,107.4,107400
211,109,109000
212,109,109000
213,110,110000
214,111,111000
215,111,111000
216,111,111000
217,113,113000
218,113.8,113800
219,114,114000
220,115,115000
221,115,115000
222,115,115000
223,116,116000
224,116,116000
225,117,117000
226,117,117000
227,118,118000
228,119,119000
229,120,120000
230,120,120000
231,121.3,121300
232,122,122000
233,122,122000
234,130.1,130100
235,131,131000
236,131.3,131300
237,133,133000
238,136,136000
239,137,137000
240,138,138000
241,140.0,140000
242,140,140000
243,140,140000
244,140.8,140800
245,145,145000
246,145,145000
247,147,147000
248,149,149000
249,149,149000
250,150,150000
251,150.0,150000
252,150.4,150400
253,151.0,151000
254,151.5,151500
255,152,152000
256,152,152000
257,153,153000
258,159,159000
259,160,160000
260,160,160000
261,164,164000
262,169.1,169100
263,172,172000
264,172.2,172200
265,173,173000
266,177.5,177500
267,180.0,180000
268,180.0,180000
269,181.0,181000
270,183.9,183900
271,184,184000
272,186,186000
273,189,189000
274,189,189000
275,189.2,189200
276,190.0,190000
277,192,192000
278,197.9,197900
279,199,199000
280,200.0,200000
281,200.0,200000
282,200.0,200000
283,200,200000
284,201,201000
285,202,202000
286,203,203000
287,207,207000
288,209,209000
289,210,210000
290,211,211000
291,213,213000
292,213,213000
293,217,217000
294,218,218000
295,219,219000
296,220,220000
297,222,222000
298,224,224000
299,225,225000
300,225.0,225000
301,231,231000
302,233,233000
303,234,234000
304,242,242000
305,244,244000
306,246,246000
307,246,246000
308,247,247000
309,251,251000
310,252,252000
311,258,258000
312,258,258000
313,259,259000
314,263,263000
315,269,269000
316,269,269000
317,273,273000
318,276,276000
319,276,276000
320,283.7,283700
321,288,288000
322,288,288000
323,288,288000
324,294,294000
325,296,296000
326,296,296000
327,296,296000
328,297,297000
329,300.0,300000
330,300.0,300000
331,300,300000
332,301,301000
333,303,303000
334,303.8,303800
335,304,304000
336,305,305000
337,306,306000
338,306,306000
339,306,306000
340,306,306000
341,307,307000
342,307,307000
343,309,309000
344,310,310000
345,311,311000
346,313,313000
347,315,315000
348,316,316000
349,316,316000
350,320,320000
351,322,322000
352,322,322000
353,323,323000
354,323,323000
355,328,328000
356,329,329000
357,329,329000
358,329,329000
359,331,331000
360,333,333000
361,333,333000
362,334,334000
363,334,334000
364,334,334000
365,336,336000
366,336,336000
367,339,339000
368,341,341000
369,343,343000
370,346,346000
371,346,346000
372,349,349000
373,350,350000
374,354,354000
375,356,356000
376,366,366000
377,374,374000
378,378,378000
379,380.1,380100
380,381,381000
381,382,382000
382,385,385000
383,394,394000
384,396,396000
385,400,400000
386,403,403000
387,405,405000
388,409,409000
389,415,415000
390,416,416000
391,422,422000
392,425,425000
393,448,448000
394,455,455000
395,456,456000
396,457,457000
397,457,457000
398,460,460000
399,460.0,460000
400,460,460000
401,468,468000
402,474,474000
403,491,491000
404,495,495000
405,500,500000
406,505,505000
407,511,511000
408,515,515000
409,516,516000
410,517,517000
411,518,518000
412,540.8,540800
413,543,543000
414,557,557000
415,563,563000
416,566,566000
417,587,587000
418,590,590000
419,595,595000
420,598,598000
421,605,605000
422,612,612000
423,613,613000
424,622,622000
425,631,631000
426,648,648000
427,651,651000
428,693,693000
429,695,695000
430,716,716000
431,724,724000
432,731,731000
433,743,743000
434,743,743000
435,750,750000
436,752,752000
437,764,764000
438,775,775000
439,859,859000
440,878,878000
441,900,900000
442,903,903000
443,931,931000
444,940,940000
445,942,942000
446,970,970000
