id,ka,years
1,5.2,5200
2,6.2,6200
3,6.4,6400
4,6.9,6900
5,11.5,11500
6,12,12000
7,12.3,12300
8,14.9,14900
9,16.5,16500
10,18.7,18700
11,22,22000
12,30,30000
13,30,30000
14,30,30000
15,31.6,31600
16,32.2,32200
17,34.4,34400
18,40,40000
19,40,40000
20,42,42000
21,43,43000
22,43,43000
23,44.5,44500
24,46,46000
25,51.4,51400
26,53,53000
27,53,53000
28,54,54000
29,54,54000
30,54,54000
31,60,60000
32,60,60000
33,60,60000
34,62.9,62900
35,65.5,65500
36,69.3,69300
37,70,70000
38,72.8,72800
39,75,75000
40,78.9,78900
41,80,80000
42,81,81000
43,82,82000
44,83,83000
45,83.7,83700
46,86,86000
47,86,86000
48,90,90000
49,95,95000
50,95.6,95600
51,96.12,96120
52,98,98000
53,106,106000
54,106.3,106300
55,110,110000
56,110,110000
57,111,111000
58,111,111000
59,120,120000
60,120,120000
61,120,120000
62,120,120000
63,124.1,124100
64,124.5,124500
65,128.4,128400
66,130,130000
67,130,130000
68,130,130000
69,130,130000
70,131.3,131300
71,133.2,133200
72,149,149000
73,158.1,158100
74,160,160000
75,160,160000
76,167.4,167400
77,170,170000
78,170,170000
79,170,170000
80,173,173000
81,173,173000
82,193,193000
83,198,198000
84,200,200000
85,200,200000
86,202,202000
87,202,202000
88,220,220000
89,224,224000
90,245,245000
91,260,260000
92,260,260000
93,314,314000
94,342,342000
95,350,350000
96,350,350000
97,400,400000
98,440,440000
99,480,480000
100,482,482000
101,510,510000
102,520,520000
103,559.6,559600
104,560,560000
105,570,570000
106,580,580000
107,590,590000
108,600,600000
