id,ka,years
1,0.09,90
2,0.1,100
3,0.13,130
4,0.14,140
5,0.15,150
6,0.22,220
7,0.23,230
8,0.24,240
9,0.263,263
10,0.321,321
11,0.337,337
12,0.35,350
13,0.385,385
14,0.41,410
15,0.47,470
16,0.53,530
17,0.588,588
18,0.637,637
19,0.65,650
20,0.690,690
21,0.807,807
22,1.020,1020
23,1.035,1035
24,1.08,1080
25,1.11,1110
26,1.133,1133
27,1.141,1141
28,1.183,1183
29,1.194,1194
30,1.25,1250
31,1.265,1265
32,1.3,1300
33,1.31,1310
34,1.34,1340
35,1.376,1376
36,1.396,1396
37,1.415,1415
38,1.42,1420
39,1.476,1476
40,1.482,1482
41,1.532,1532
42,1.562,1562
43,1.585,1585
44,1.617,1617
45,1.62,1620
46,1.65,1650
47,1.66,1660
48,1.68,1680
49,1.707,1707
50,1.75,1750
51,1.82,1820
52,1.83,1830
53,1.84,1840
54,1.85,1850
55,1.91,1910
56,1.927,1927
57,1.955,1955
58,2.01,2010
59,2.057,2057
60,2.065,2065
61,2.07,2070
62,2.123,2123
63,2.234,2234
64,2.244,2244
65,2.26,2260
66,2.262,2262
67,2.27,2270
68,2.33,2330
69,2.33,2330
70,2.36,2360
71,2.45,2450
72,2.594,2594
73,2.62,2620
74,2.627,2627
75,2.691,2691
76,2.698,2698
77,2.898,2898
78,2.900,2900
79,2.94,2940
80,3.029,3029
81,3.03,3030
82,3.03,3030
83,3.51,3510
84,3.58,3580
85,3.64,3640
86,3.65,3650
87,3.67,3670
88,3.71,3710
89,3.72,3720
90,3.74,3740
91,3.77,3770
92,3.920,3920
93,3.95,3950
94,4.032,4032
95,4.042,4042
96,4.06,4060
97,4.19,4190
98,4.24,4240
99,4.277,4277
100,4.539,4539
101,4.56,4560
102,4.674,4674
103,4.786,4786
104,5.231,5231
105,5.52,5520
106,5.68,5680
107,5.78,5780
108,5.813,5813
109,6.25,6250
110,6.477,6477
111,6.55,6550
112,6.710,6710
113,6.71,6710
114,6.91,6910
115,7.141,7141
116,7.289,7289
117,7.290,7290
118,7.363,7363
119,7.547,7547
120,7.587,7587
121,7.630,7630
122,7.824,7824
123,7.834,7834
124,7.97,7970
125,8.202,8202
126,8.202,8202
127,8.289,8289
128,8.301,8301
129,8.38,8380
130,8.550,8550
131,8.64,8640
132,8.683,8683
133,8.706,8706
134,8.86,8860
135,8.886,8886
136,8.971,8971
137,9.076,9076
138,9.588,9588
139,9.599,9599
140,9.61,9610
141,9.65,9650
142,9.68,9680
143,9.71,9710
144,9.765,9765
145,9.846,9846
146,9.921,9921
147,10.04,10040
148,10.13,10130
149,10.18,10180
150,10.488,10488
151,10.550,10550
152,10.651,10651
153,10.66,10660
154,10.68,10680
155,10.96,10960
156,11.119,11119
157,11.322,11322
158,11.39,11390
159,11.495,11495
160,11.497,11497
161,12.027,12027
162,12.520,12520
163,12.555,12555
164,12.603,12603
165,12.670,12670
166,12.908,12908
167,13.109,13109
168,13.41,13410
169,13.55,13550
170,13.57,13570
171,13.69,13690
172,13.75,13750
173,13.79,13790
174,13.8,13800
175,13.83,13830
176,13.84,13840
177,13.84,13840
178,13.845,13845
179,13.867,13867
180,13.89,13890
181,13.92,13920
182,13.97,13970
183,14.32,14320
184,14.602,14602
185,14.937,14937
186,16.092,16092
187,16.487,16487
188,19.96,19960
189,26.15,26150
190,29.42,29420
191,41.18,41180
